Concept,Criticism Mentions,Novel Mentions
Cyborg Theory,98,424
Posthumanism,184,0
Animal Ethics,9,204
Posthuman Ethics,117,17
PostAnthropocentrism,133,32
Critical Posthumanism,25,71
