Concept,Criticism Mentions,Novel Mentions
Affective_Turn,1,0
Animal_Ethics,1,0
Biopolitics,3,0
Cognitive_Computing,1,0
Critical_Posthumanism,1,0
Cybernetic_Enhancement,8,0
Cyborg_Theory,7,0
EcoEthics,1,0
Embodied_Hybridity,2,0
Feminist_Ethics,2,0
Feminist_Posthumanism,3,0
Hybrid_Identity,5,0
PostAnthropocentrism,6,0
Posthuman_Animality,5,0
Posthuman_Ethics,3,0
Posthuman_Subjectivity,8,0
Posthumanism,11,0
Relational_Ontology,1,0
Transhumanism,3,0
