Character,Ackers,Al_Jarry,Amanda_Werner,Ann,Barbour,Baty,Boneli_ReflexArc_Test,Booster,Bryant,Buster,Buster_Friendly,Cora_Mercer,Dave,Dave_Holden,Dave_Holdens,Deckard,Don_Giovanni,Donna_Anna,Drop,Ed,Ed_Smith,Eldon,Eldon_Rosen,Elisabeth_Schwarzkopf,Frank,Friendly,Funny,Garland,George_Gleason,Gitchel,Goodby,Graveson,Groucho,Hannibal_Sloat,Hannibal_Sssloat,Harry,Harry_Bryant,Harry_Bryants,Hasking,Hitler,Ho_ho,Holden,Horace,Horst,Horst_Hartman,However,Irmgard_Baty,Isidore,JR,J_R_Isidore,Jarry,Jesus,John_Isidore,Judy,Keerist,Klugman,Lisa_Della_Casa,Lotte_Lehmann,Luba_Luft,Luba_Lufts,Luft,Lurie_Kampff,Maggie_Klugman,Mann,Manx,Mark,Marsten,Max_Polokov,Mercer,Mercerite,Milt,Milt_Borogrove,Miss_Luft,Miss_Rosen,Mozart,Muhe,Oakes,Pamina,Penfield,Phil_Resch,Phil_Reschs,Pilsen,Polokov,Polokovbetter,Pris,Pris_Stratton,Rachael,Rachael_Rosen,Rachael_RosenRachael,Rachael_Rosens,Resch,Rick,Rick_Deckard,Rosen,Rosens,Roy,Roy_Baty,Salander,Salander_3,Santa_Claus,Siddons,Sidney,Sloat,Suspends,Titus_Corning,Voigt,W4,Wade_Cortot,Wilbur_Mercer,Wild,Zip_click_zip,the_Sol_System,vid,vita_incerta,ya,yearninghe
Ackers,1.0,-0.3418817293789138,1.0,-0.2182178902359924,-0.2182178902359924,1.0,-0.2182178902359924,1.0,0.8783100656536798,0.7142857142857141,0.8017837257372731,-0.2182178902359924,0.8079621855688682,0.8017837257372731,1.0,0.6064496310619681,1.0,1.0,-0.2182178902359924,-0.2182178902359924,-0.2182178902359924,1.0,0.6888747637021416,1.0,-0.2182178902359924,1.0,-0.2182178902359924,0.6069769786668839,-0.2182178902359924,1.0,1.0,-0.2182178902359924,-0.2182178902359924,0.8017837257372731,1.0,-0.14285714285714282,1.0,1.0,-0.2182178902359924,-0.2182178902359924,1.0,1.0,-0.2182178902359924,-0.14285714285714288,-0.14285714285714288,1.0,0.8017837257372731,0.7467286566323436,-0.3779644730092272,-0.26726124191242434,-0.14285714285714282,0.8017837257372731,0.5345224838248487,-0.2182178902359924,1.0,-0.14285714285714288,1.0,1.0,0.6728419560243849,1.0,1.0,-0.14285714285714282,-0.14285714285714288,-0.14285714285714288,-0.2182178902359924,-0.2182178902359924,1.0,0.8017837257372731,0.7644707871564382,1.0,0.8017837257372731,-0.2182178902359924,0.9047619047619049,1.0,1.0,-0.14285714285714288,-0.2182178902359924,1.0,0.7142857142857141,0.7142857142857143,0.8017837257372731,-0.2182178902359924,0.6546536707079771,1.0,0.5516772843673705,0.7142857142857141,0.5528162322313309,0.8017837257372731,1.0,1.0,0.6064496310619684,0.6831300510639732,0.5447047794019222,1.0,-0.2182178902359924,0.4364357804719848,0.8783100656536798,1.0,-0.2182178902359924,-0.14285714285714288,-0.2182178902359924,0.7142857142857141,0.8017837257372731,1.0,-0.2182178902359924,0.45868247229386294,1.0,1.0,0.7142857142857141,1.0,-0.2182178902359924,-0.3779644730092272,1.0,1.0,-0.14285714285714288,1.0
Al_Jarry,-0.3418817293789138,1.0,-0.3418817293789138,0.17407765595569788,0.17407765595569788,-0.3418817293789138,0.17407765595569788,-0.3418817293789138,-0.3892494720807615,-0.11396057645963795,-0.21320071635561041,0.17407765595569788,0.033922676577637915,-0.21320071635561041,-0.3418817293789138,0.04397994971335421,-0.34188172937891387,-0.3418817293789138,0.17407765595569782,0.17407765595569788,0.17407765595569788,-0.34188172937891387,-0.16162704595880897,-0.3418817293789138,0.17407765595569788,-0.3418817293789138,0.17407765595569788,-0.48420012470625223,0.17407765595569782,-0.3418817293789138,-0.3418817293789138,0.17407765595569788,0.17407765595569788,-0.21320071635561041,-0.3418817293789138,0.5698028822981897,-0.3418817293789138,-0.3418817293789138,0.17407765595569785,0.17407765595569785,-0.3418817293789138,-0.3418817293789138,0.17407765595569788,-0.3418817293789138,-0.3418817293789138,-0.3418817293789138,-0.21320071635561041,-0.3790712527517176,0.30151134457776363,-0.21320071635561041,0.5698028822981897,-0.21320071635561041,-0.42640143271122083,0.17407765595569788,-0.3418817293789138,-0.3418817293789138,-0.3418817293789138,-0.3418817293789138,-0.6798734536162875,-0.3418817293789138,-0.3418817293789138,0.5698028822981897,-0.3418817293789138,0.5698028822981898,0.17407765595569788,0.17407765595569785,-0.3418817293789138,-0.21320071635561041,-0.12196734422726123,-0.3418817293789138,-0.21320071635561041,0.17407765595569788,-0.26590801173915524,-0.34188172937891387,-0.3418817293789138,-0.3418817293789138,0.17407765595569788,-0.3418817293789138,-0.11396057645963795,-0.11396057645963789,-0.21320071635561041,0.17407765595569788,-0.1740776559556978,-0.3418817293789138,-0.6915640748081247,-0.11396057645963795,0.2374587360434654,-0.21320071635561041,-0.3418817293789138,-0.34188172937891387,-0.3078596479934797,-0.23354968324845693,-0.2414022747926338,-0.34188172937891387,0.17407765595569782,-3.0370217698038784e-17,-0.3892494720807615,-0.3418817293789138,0.17407765595569788,-0.3418817293789138,0.17407765595569788,-0.11396057645963795,-0.21320071635561041,-0.3418817293789138,0.17407765595569782,0.12196734422726126,-0.3418817293789138,-0.3418817293789138,-0.11396057645963795,-0.3418817293789138,0.17407765595569782,0.30151134457776363,-0.3418817293789138,-0.3418817293789138,-0.3418817293789138,-0.3418817293789138
Amanda_Werner,1.0,-0.3418817293789138,1.0,-0.2182178902359924,-0.2182178902359924,1.0,-0.2182178902359924,1.0,0.8783100656536798,0.7142857142857141,0.8017837257372731,-0.2182178902359924,0.8079621855688682,0.8017837257372731,1.0,0.6064496310619681,1.0,1.0,-0.2182178902359924,-0.2182178902359924,-0.2182178902359924,1.0,0.6888747637021416,1.0,-0.2182178902359924,1.0,-0.2182178902359924,0.6069769786668839,-0.2182178902359924,1.0,1.0,-0.2182178902359924,-0.2182178902359924,0.8017837257372731,1.0,-0.14285714285714282,1.0,1.0,-0.2182178902359924,-0.2182178902359924,1.0,1.0,-0.2182178902359924,-0.14285714285714288,-0.14285714285714288,1.0,0.8017837257372731,0.7467286566323436,-0.3779644730092272,-0.26726124191242434,-0.14285714285714282,0.8017837257372731,0.5345224838248487,-0.2182178902359924,1.0,-0.14285714285714288,1.0,1.0,0.6728419560243849,1.0,1.0,-0.14285714285714282,-0.14285714285714288,-0.14285714285714288,-0.2182178902359924,-0.2182178902359924,1.0,0.8017837257372731,0.7644707871564382,1.0,0.8017837257372731,-0.2182178902359924,0.9047619047619049,1.0,1.0,-0.14285714285714288,-0.2182178902359924,1.0,0.7142857142857141,0.7142857142857143,0.8017837257372731,-0.2182178902359924,0.6546536707079771,1.0,0.5516772843673705,0.7142857142857141,0.5528162322313309,0.8017837257372731,1.0,1.0,0.6064496310619684,0.6831300510639732,0.5447047794019222,1.0,-0.2182178902359924,0.4364357804719848,0.8783100656536798,1.0,-0.2182178902359924,-0.14285714285714288,-0.2182178902359924,0.7142857142857141,0.8017837257372731,1.0,-0.2182178902359924,0.45868247229386294,1.0,1.0,0.7142857142857141,1.0,-0.2182178902359924,-0.3779644730092272,1.0,1.0,-0.14285714285714288,1.0
Ann,-0.2182178902359924,0.17407765595569788,-0.2182178902359924,1.0,1.0,-0.2182178902359924,1.0,-0.2182178902359924,0.14907119849998593,-0.21821789023599245,-0.4082482904638631,1.0,-0.3247849012308155,0.4082482904638631,-0.2182178902359924,0.25264557631995566,-0.21821789023599242,-0.2182178902359924,-0.33333333333333326,1.0,1.0,-0.21821789023599242,0.5570860145311557,-0.2182178902359924,1.0,-0.2182178902359924,1.0,0.39735970711951313,-0.33333333333333326,-0.2182178902359924,-0.2182178902359924,1.0,1.0,0.4082482904638631,-0.2182178902359924,-0.2182178902359924,-0.2182178902359924,-0.2182178902359924,0.33333333333333326,0.33333333333333326,-0.2182178902359924,-0.2182178902359924,1.0,-0.21821789023599233,-0.21821789023599233,-0.2182178902359924,0.0,0.3110855084191276,-3.2049378106392736e-17,0.0,-0.2182178902359924,0.4082482904638631,0.0,1.0,-0.2182178902359924,-0.21821789023599233,-0.2182178902359924,-0.2182178902359924,0.20555661294825955,-0.2182178902359924,-0.2182178902359924,-0.2182178902359924,-0.21821789023599233,0.6546536707079771,1.0,0.33333333333333326,-0.2182178902359924,0.0,0.23354968324845687,-0.2182178902359924,0.4082482904638631,1.0,-0.36369648372665403,-0.21821789023599242,-0.2182178902359924,-0.21821789023599233,1.0,-0.2182178902359924,-0.21821789023599245,0.21821789023599245,0.4082482904638631,1.0,3.700743415417188e-17,-0.2182178902359924,-0.12038585308576923,-0.21821789023599245,0.06495698024616309,0.4082482904638631,-0.2182178902359924,-0.21821789023599242,0.5895063447465633,0.44721359549995787,0.4622501635210242,-0.21821789023599242,-0.33333333333333326,-0.3333333333333333,0.14907119849998593,-0.2182178902359924,1.0,-0.21821789023599233,1.0,0.2182178902359924,0.4082482904638631,-0.2182178902359924,-0.33333333333333326,0.3892494720807615,-0.2182178902359924,-0.2182178902359924,0.2182178902359924,-0.2182178902359924,-0.33333333333333326,-3.2049378106392736e-17,-0.2182178902359924,-0.2182178902359924,-0.21821789023599233,-0.2182178902359924
Barbour,-0.2182178902359924,0.17407765595569788,-0.2182178902359924,1.0,1.0,-0.2182178902359924,1.0,-0.2182178902359924,0.14907119849998593,-0.21821789023599245,-0.4082482904638631,1.0,-0.3247849012308155,0.4082482904638631,-0.2182178902359924,0.25264557631995566,-0.21821789023599242,-0.2182178902359924,-0.33333333333333326,1.0,1.0,-0.21821789023599242,0.5570860145311557,-0.2182178902359924,1.0,-0.2182178902359924,1.0,0.39735970711951313,-0.33333333333333326,-0.2182178902359924,-0.2182178902359924,1.0,1.0,0.4082482904638631,-0.2182178902359924,-0.2182178902359924,-0.2182178902359924,-0.2182178902359924,0.33333333333333326,0.33333333333333326,-0.2182178902359924,-0.2182178902359924,1.0,-0.21821789023599233,-0.21821789023599233,-0.2182178902359924,0.0,0.3110855084191276,-3.2049378106392736e-17,0.0,-0.2182178902359924,0.4082482904638631,0.0,1.0,-0.2182178902359924,-0.21821789023599233,-0.2182178902359924,-0.2182178902359924,0.20555661294825955,-0.2182178902359924,-0.2182178902359924,-0.2182178902359924,-0.21821789023599233,0.6546536707079771,1.0,0.33333333333333326,-0.2182178902359924,0.0,0.23354968324845687,-0.2182178902359924,0.4082482904638631,1.0,-0.36369648372665403,-0.21821789023599242,-0.2182178902359924,-0.21821789023599233,1.0,-0.2182178902359924,-0.21821789023599245,0.21821789023599245,0.4082482904638631,1.0,3.700743415417188e-17,-0.2182178902359924,-0.12038585308576923,-0.21821789023599245,0.06495698024616309,0.4082482904638631,-0.2182178902359924,-0.21821789023599242,0.5895063447465633,0.44721359549995787,0.4622501635210242,-0.21821789023599242,-0.33333333333333326,-0.3333333333333333,0.14907119849998593,-0.2182178902359924,1.0,-0.21821789023599233,1.0,0.2182178902359924,0.4082482904638631,-0.2182178902359924,-0.33333333333333326,0.3892494720807615,-0.2182178902359924,-0.2182178902359924,0.2182178902359924,-0.2182178902359924,-0.33333333333333326,-3.2049378106392736e-17,-0.2182178902359924,-0.2182178902359924,-0.21821789023599233,-0.2182178902359924
Baty,1.0,-0.3418817293789138,1.0,-0.2182178902359924,-0.2182178902359924,1.0,-0.2182178902359924,1.0,0.8783100656536798,0.7142857142857141,0.8017837257372731,-0.2182178902359924,0.8079621855688682,0.8017837257372731,1.0,0.6064496310619681,1.0,1.0,-0.2182178902359924,-0.2182178902359924,-0.2182178902359924,1.0,0.6888747637021416,1.0,-0.2182178902359924,1.0,-0.2182178902359924,0.6069769786668839,-0.2182178902359924,1.0,1.0,-0.2182178902359924,-0.2182178902359924,0.8017837257372731,1.0,-0.14285714285714282,1.0,1.0,-0.2182178902359924,-0.2182178902359924,1.0,1.0,-0.2182178902359924,-0.14285714285714288,-0.14285714285714288,1.0,0.8017837257372731,0.7467286566323436,-0.3779644730092272,-0.26726124191242434,-0.14285714285714282,0.8017837257372731,0.5345224838248487,-0.2182178902359924,1.0,-0.14285714285714288,1.0,1.0,0.6728419560243849,1.0,1.0,-0.14285714285714282,-0.14285714285714288,-0.14285714285714288,-0.2182178902359924,-0.2182178902359924,1.0,0.8017837257372731,0.7644707871564382,1.0,0.8017837257372731,-0.2182178902359924,0.9047619047619049,1.0,1.0,-0.14285714285714288,-0.2182178902359924,1.0,0.7142857142857141,0.7142857142857143,0.8017837257372731,-0.2182178902359924,0.6546536707079771,1.0,0.5516772843673705,0.7142857142857141,0.5528162322313309,0.8017837257372731,1.0,1.0,0.6064496310619684,0.6831300510639732,0.5447047794019222,1.0,-0.2182178902359924,0.4364357804719848,0.8783100656536798,1.0,-0.2182178902359924,-0.14285714285714288,-0.2182178902359924,0.7142857142857141,0.8017837257372731,1.0,-0.2182178902359924,0.45868247229386294,1.0,1.0,0.7142857142857141,1.0,-0.2182178902359924,-0.3779644730092272,1.0,1.0,-0.14285714285714288,1.0
Boneli_ReflexArc_Test,-0.2182178902359924,0.17407765595569788,-0.2182178902359924,1.0,1.0,-0.2182178902359924,1.0,-0.2182178902359924,0.14907119849998593,-0.21821789023599245,-0.4082482904638631,1.0,-0.3247849012308155,0.4082482904638631,-0.2182178902359924,0.25264557631995566,-0.21821789023599242,-0.2182178902359924,-0.33333333333333326,1.0,1.0,-0.21821789023599242,0.5570860145311557,-0.2182178902359924,1.0,-0.2182178902359924,1.0,0.39735970711951313,-0.33333333333333326,-0.2182178902359924,-0.2182178902359924,1.0,1.0,0.4082482904638631,-0.2182178902359924,-0.2182178902359924,-0.2182178902359924,-0.2182178902359924,0.33333333333333326,0.33333333333333326,-0.2182178902359924,-0.2182178902359924,1.0,-0.21821789023599233,-0.21821789023599233,-0.2182178902359924,0.0,0.3110855084191276,-3.2049378106392736e-17,0.0,-0.2182178902359924,0.4082482904638631,0.0,1.0,-0.2182178902359924,-0.21821789023599233,-0.2182178902359924,-0.2182178902359924,0.20555661294825955,-0.2182178902359924,-0.2182178902359924,-0.2182178902359924,-0.21821789023599233,0.6546536707079771,1.0,0.33333333333333326,-0.2182178902359924,0.0,0.23354968324845687,-0.2182178902359924,0.4082482904638631,1.0,-0.36369648372665403,-0.21821789023599242,-0.2182178902359924,-0.21821789023599233,1.0,-0.2182178902359924,-0.21821789023599245,0.21821789023599245,0.4082482904638631,1.0,3.700743415417188e-17,-0.2182178902359924,-0.12038585308576923,-0.21821789023599245,0.06495698024616309,0.4082482904638631,-0.2182178902359924,-0.21821789023599242,0.5895063447465633,0.44721359549995787,0.4622501635210242,-0.21821789023599242,-0.33333333333333326,-0.3333333333333333,0.14907119849998593,-0.2182178902359924,1.0,-0.21821789023599233,1.0,0.2182178902359924,0.4082482904638631,-0.2182178902359924,-0.33333333333333326,0.3892494720807615,-0.2182178902359924,-0.2182178902359924,0.2182178902359924,-0.2182178902359924,-0.33333333333333326,-3.2049378106392736e-17,-0.2182178902359924,-0.2182178902359924,-0.21821789023599233,-0.2182178902359924
Booster,1.0,-0.3418817293789138,1.0,-0.2182178902359924,-0.2182178902359924,1.0,-0.2182178902359924,1.0,0.8783100656536798,0.7142857142857141,0.8017837257372731,-0.2182178902359924,0.8079621855688682,0.8017837257372731,1.0,0.6064496310619681,1.0,1.0,-0.2182178902359924,-0.2182178902359924,-0.2182178902359924,1.0,0.6888747637021416,1.0,-0.2182178902359924,1.0,-0.2182178902359924,0.6069769786668839,-0.2182178902359924,1.0,1.0,-0.2182178902359924,-0.2182178902359924,0.8017837257372731,1.0,-0.14285714285714282,1.0,1.0,-0.2182178902359924,-0.2182178902359924,1.0,1.0,-0.2182178902359924,-0.14285714285714288,-0.14285714285714288,1.0,0.8017837257372731,0.7467286566323436,-0.3779644730092272,-0.26726124191242434,-0.14285714285714282,0.8017837257372731,0.5345224838248487,-0.2182178902359924,1.0,-0.14285714285714288,1.0,1.0,0.6728419560243849,1.0,1.0,-0.14285714285714282,-0.14285714285714288,-0.14285714285714288,-0.2182178902359924,-0.2182178902359924,1.0,0.8017837257372731,0.7644707871564382,1.0,0.8017837257372731,-0.2182178902359924,0.9047619047619049,1.0,1.0,-0.14285714285714288,-0.2182178902359924,1.0,0.7142857142857141,0.7142857142857143,0.8017837257372731,-0.2182178902359924,0.6546536707079771,1.0,0.5516772843673705,0.7142857142857141,0.5528162322313309,0.8017837257372731,1.0,1.0,0.6064496310619684,0.6831300510639732,0.5447047794019222,1.0,-0.2182178902359924,0.4364357804719848,0.8783100656536798,1.0,-0.2182178902359924,-0.14285714285714288,-0.2182178902359924,0.7142857142857141,0.8017837257372731,1.0,-0.2182178902359924,0.45868247229386294,1.0,1.0,0.7142857142857141,1.0,-0.2182178902359924,-0.3779644730092272,1.0,1.0,-0.14285714285714288,1.0
Bryant,0.8783100656536798,-0.3892494720807615,0.8783100656536798,0.14907119849998593,0.14907119849998593,0.8783100656536798,0.14907119849998593,0.8783100656536798,1.0,0.6831300510639733,0.5477225575051661,0.149071198499986,0.6100425384628331,0.9128709291752769,0.8783100656536798,0.790905756012445,0.8783100656536799,0.8783100656536798,-0.4472135954999579,0.149071198499986,0.149071198499986,0.8783100656536799,0.8581366251553131,0.8783100656536798,0.149071198499986,0.8783100656536798,0.149071198499986,0.7700535410868199,-0.4472135954999579,0.8783100656536798,0.8783100656536798,0.149071198499986,0.149071198499986,0.9128709291752769,0.8783100656536798,-0.29277002188455986,0.8783100656536798,0.8783100656536798,0.14907119849998599,0.14907119849998599,0.8783100656536798,0.8783100656536798,0.149071198499986,-0.2927700218845599,-0.2927700218845599,0.8783100656536798,0.9128709291752769,0.9738516810963534,-0.2581988897471611,-0.18257418583505536,-0.29277002188455986,0.9128709291752769,0.3651483716701107,0.149071198499986,0.8783100656536798,-0.2927700218845599,0.8783100656536798,0.8783100656536798,0.7660642662948695,0.8783100656536798,0.8783100656536798,-0.29277002188455986,-0.2927700218845599,0.0975900072948533,0.149071198499986,0.14907119849998599,0.8783100656536798,0.9128709291752769,0.8703882797784891,0.8783100656536798,0.9128709291752769,0.149071198499986,0.6831300510639733,0.8783100656536799,0.8783100656536798,-0.2927700218845599,0.149071198499986,0.8783100656536798,0.6831300510639733,0.6831300510639733,0.9128709291752769,0.149071198499986,0.4472135954999579,0.8783100656536798,0.48454371185234907,0.6831300510639733,0.43574467033059505,0.9128709291752769,0.8783100656536798,0.8783100656536799,0.7909057560124451,0.8666666666666666,0.6201736729460423,0.8783100656536799,-0.4472135954999579,0.29814239699997197,1.0,0.8783100656536798,0.149071198499986,-0.2927700218845599,0.149071198499986,0.6831300510639733,0.9128709291752769,0.8783100656536798,-0.4472135954999579,0.5222329678670935,0.8783100656536798,0.8783100656536798,0.6831300510639733,0.8783100656536798,-0.4472135954999579,-0.2581988897471611,0.8783100656536798,0.8783100656536798,-0.2927700218845599,0.8783100656536798
Buster,0.7142857142857141,-0.11396057645963795,0.7142857142857141,-0.21821789023599245,-0.21821789023599245,0.7142857142857141,-0.21821789023599245,0.7142857142857141,0.6831300510639733,1.0,0.8017837257372732,-0.21821789023599245,0.38271893000630597,0.5345224838248488,0.7142857142857141,0.49618606177797425,0.7142857142857142,0.7142857142857141,0.2182178902359924,-0.21821789023599245,-0.21821789023599245,0.7142857142857142,0.4457424941602093,0.7142857142857141,-0.21821789023599245,0.7142857142857141,-0.21821789023599245,0.26013299085723596,0.2182178902359924,0.7142857142857141,0.7142857142857141,-0.21821789023599245,-0.21821789023599245,0.5345224838248488,0.7142857142857141,-0.4285714285714285,0.7142857142857141,0.7142857142857141,0.2182178902359924,0.2182178902359924,0.7142857142857141,0.7142857142857141,-0.21821789023599245,-0.4285714285714285,-0.4285714285714285,0.7142857142857141,0.8017837257372732,0.6109598099719177,0.3779644730092273,-0.2672612419124244,-0.4285714285714285,0.5345224838248488,0.2672612419124244,-0.21821789023599245,0.7142857142857141,-0.4285714285714285,0.7142857142857141,0.7142857142857141,0.22428065200812833,0.7142857142857141,0.7142857142857141,-0.4285714285714285,-0.4285714285714285,0.14285714285714285,-0.21821789023599245,0.2182178902359924,0.7142857142857141,0.8017837257372732,0.8664002254439633,0.7142857142857141,0.5345224838248488,-0.21821789023599245,0.8095238095238093,0.7142857142857142,0.7142857142857141,-0.4285714285714285,-0.21821789023599245,0.7142857142857141,1.0,0.14285714285714285,0.5345224838248488,-0.21821789023599245,0.0,0.7142857142857141,0.39405520311955033,1.0,0.1275729766687687,0.5345224838248488,0.7142857142857141,0.7142857142857142,0.2756589232099856,0.6831300510639732,0.4236592728681618,0.7142857142857142,0.2182178902359924,-6.229813528931756e-17,0.6831300510639731,0.7142857142857141,-0.21821789023599245,-0.4285714285714285,-0.21821789023599245,0.7142857142857144,0.5345224838248488,0.7142857142857141,0.2182178902359924,-0.05096471914376259,0.7142857142857141,0.7142857142857141,0.7142857142857144,0.7142857142857141,0.2182178902359924,0.3779644730092273,0.7142857142857141,0.7142857142857141,-0.4285714285714285,0.7142857142857141
